model_rank,player_name,position,school,final_grade,round_value,consensus_mean_rank,external_rank,delta_consensus_minus_model,pff_grade,formula_prior_signal,formula_guardrail_penalty,formula_drift_penalty,formula_top75_gate_penalty,trait_score,production_score,athletic_score,likely_drivers
14,Avieon Terrell,CB,Clemson,83.7,Round 2-3,21.33,19,7.33,83.5,92.55,0.0,0.0,0.0,95.39,92.02,89.72,strong_prior|no_guardrail_hit|elite_trait_prod|strong_athletic
15,Romello Height,EDGE,Texas Tech Red Raiders,83.68,Round 2-3,66.00,51,51.00,92.5,72.97,0.0,0.0,0.0,90.98,88.48,85.12,high_pff|no_guardrail_hit
16,Keldric Faulk,EDGE,Auburn,83.64,Round 2-3,18.80,16,2.80,75.8,91.73,0.0,0.0,0.0,94.81,91.38,89.98,strong_prior|no_guardrail_hit|elite_trait_prod|strong_athletic
17,Chris Johnson,CB,San Diego State Aztecs,83.6,Round 2-3,49.00,55,32.00,91.6,73.91,0.0,0.0,0.0,90.55,88.16,84.68,high_pff|no_guardrail_hit
18,Sonny Styles,LB,Ohio State,83.55,Round 2-3,9.00,9,-9.00,88.5,91.86,0.0,0.0,0.0,87.25,85.44,82.23,high_pff|strong_prior|no_guardrail_hit
19,Kadyn Proctor,OT,Alabama,83.48,Round 2-3,21.67,25,2.67,85.9,91.63,0.0,0.0,0.0,95.44,91.78,89.86,strong_prior|no_guardrail_hit|elite_trait_prod|strong_athletic
20,Keith Abney II,CB,Arizona State Sun Devils,83.44,Round 2-3,46.00,35,26.00,86.3,77.7,0.0,0.0,0.0,92.16,89.68,86.39,no_guardrail_hit
21,Jordyn Tyson,WR,Arizona State,83.37,Round 2-3,12.17,7,-8.83,82.9,95.3,0.0,0.0,0.0,94.78,91.54,89.84,strong_prior|no_guardrail_hit|elite_trait_prod|strong_athletic
22,Emmanuel McNeil-Warren,S,Toledo Rockets,83.36,Round 2-3,26.40,34,4.40,91.9,88.16,0.0,0.0,0.0,91.84,89.76,86.45,high_pff|no_guardrail_hit
23,A.J. Haulcy,S,LSU Tigers,83.14,Round 2-3,53.00,42,30.00,86.6,75.77,0.0,0.0,0.0,91.17,89.12,85.73,no_guardrail_hit
24,Dillon Thieneman,S,Oregon,83.13,Round 2-3,32.60,38,8.60,91.0,75.59,0.0,0.0,0.0,79.35,77.3,73.24,high_pff|no_guardrail_hit
25,Denzel Boston,WR,Washington,83.02,Round 2-3,20.80,20,-4.20,88.0,90.54,0.0,0.0,0.0,93.67,91.2,89.62,high_pff|strong_prior|no_guardrail_hit|elite_trait_prod|strong_athletic
26,Christen Miller,DT,Georgia Bulldogs,83.02,Round 2-3,39.80,29,13.80,84.5,83.82,0.0,0.0,0.0,92.19,90.08,86.81,no_guardrail_hit|elite_trait_prod
27,Zion Young,EDGE,Missouri Tigers,82.99,Round 2-3,41.20,45,14.20,85.0,80.3,0.0,0.0,0.0,91.5,88.96,85.66,no_guardrail_hit
28,Joshua Josephs,EDGE,Tennessee Volunteers,82.97,Round 2-3,68.33,61,40.33,87.1,71.03,0.0,0.0,0.0,90.22,87.76,84.31,no_guardrail_hit
29,Makai Lemon,WR,USC Trojans,82.89,Round 2-3,11.40,10,-17.60,90.8,95.06,0.0,0.0,0.0,94.02,91.52,89.07,high_pff|strong_prior|no_guardrail_hit|elite_trait_prod|strong_athletic
30,Jacob Rodriguez,LB,Texas Tech Red Raiders,82.8,Round 2-3,72.67,90,42.67,93.0,65.59,0.0,0.0,0.0,87.42,85.6,81.81,high_pff|no_guardrail_hit
31,Kayden McDonald,DT,Ohio State Buckeyes,82.77,Round 2-3,29.00,21,-2.00,86.5,87.33,0.0,0.0,0.0,92.86,90.72,87.53,no_guardrail_hit|elite_trait_prod
32,Peter Woods,DT,Clemson,82.72,Round 2-3,14.38,14,-17.62,72.2,95.13,0.0,0.0,0.0,95.16,92.18,90.02,strong_prior|no_guardrail_hit|elite_trait_prod|strong_athletic
33,Derrick Moore,EDGE,Michigan,82.71,Round 2-3,62.00,58,29.00,89.9,65.6,0.0,0.0,0.0,81.38,79.44,75.06,high_pff|no_guardrail_hit
34,C.J. Allen,LB,Georgia,82.66,Round 2-3,28.00,28,-6.00,76.0,86.87,0.0,0.0,0.0,92.1,89.3,86.48,no_guardrail_hit
35,Gabe Jacas,EDGE,Illinois Fighting Illini,82.57,Round 2-3,48.50,40,13.50,78.3,79.98,0.0,0.0,0.0,91.83,89.28,86.02,no_guardrail_hit
36,Emmanuel Pregnon,IOL,Oregon Ducks,82.51,Round 2-3,43.00,43,7.00,86.5,79.95,0.0,0.0,0.0,91.08,89.04,85.46,no_guardrail_hit
37,T.J. Parker,EDGE,Clemson,82.41,Round 2-3,26.50,23,-10.50,80.7,90.46,0.0,0.0,0.0,95.06,91.62,89.15,strong_prior|no_guardrail_hit|elite_trait_prod|strong_athletic
38,Colton Hood,CB,Tennessee Volunteers,82.36,Round 2-3,32.40,47,-5.60,79.2,84.13,0.0,0.0,0.0,91.23,88.8,85.4,no_guardrail_hit
39,Nyck Harbor,WR,South Carolina,82.33,Round 2-3,8.00,,-31.00,,93.44,0.0,0.0,0.0,92.4,90.0,87.36,strong_prior|no_guardrail_hit|elite_trait_prod
40,Elijah Sarratt,WR,Indiana Hoosiers,82.32,Round 2-3,62.00,66,22.00,86.1,70.83,0.0,0.0,0.0,89.59,87.36,84.39,no_guardrail_hit
41,LT Overton,EDGE,Alabama,82.22,Round 3-4,36.80,48,-4.20,64.2,89.11,0.0,0.0,0.0,94.05,91.36,88.92,no_guardrail_hit|elite_trait_prod|strong_athletic
42,Cashius Howell,EDGE,Texas A&M Aggies,82.2,Round 3-4,20.40,15,-21.60,81.2,90.78,0.0,0.0,0.0,93.79,91.12,88.09,strong_prior|no_guardrail_hit|elite_trait_prod|strong_athletic
43,Monroe Freeling,OT,Georgia,82.19,Round 3-4,25.80,30,-17.20,72.1,88.21,0.0,0.0,0.0,93.31,89.78,87.16,no_guardrail_hit
44,Gennings Dunker,OT,Iowa Hawkeyes,82.1,Round 3-4,64.00,83,20.00,82.0,67.68,0.0,0.0,0.0,88.72,86.16,82.3,no_guardrail_hit
45,Jadarian Price,RB,Notre Dame Fighting Irish,82.07,Round 3-4,51.50,59,6.50,78.6,76.96,0.0,0.0,0.0,89.89,87.92,84.57,no_guardrail_hit|language_support
46,Eli Stowers,TE,Vanderbilt,82.01,Round 3-4,57.00,44,11.00,81.6,76.76,0.0,0.0,0.0,93.72,91.52,88.02,no_guardrail_hit|elite_trait_prod|strong_athletic
47,R Mason Thomas,EDGE,Oklahoma,81.87,Round 3-4,41.20,37,-5.80,85.3,83.51,0.0,0.0,0.0,93.45,90.8,86.95,no_guardrail_hit|elite_trait_prod
48,Zakee Wheatley,S,Penn State Nittany Lions,81.87,Round 3-4,88.67,92,40.67,85.9,63.67,0.0,0.0,0.0,87.25,85.44,81.59,no_guardrail_hit
49,Brian Parker II,OT,Duke Blue Devils,81.87,Round 3-4,103.00,99,54.00,85.5,61.1,0.0,0.0,0.0,87.45,84.96,80.95,no_guardrail_hit
50,Brandon Cisse,CB,South Carolina Gamecocks,81.86,Round 3-4,33.60,31,-16.40,75.2,85.05,0.0,0.0,0.0,92.42,89.92,86.66,no_guardrail_hit
