round	pick	overall_pick	team	original_pick_owner	acquired_via	player_name	position	school	final_grade	round_value	team_athletic_bias_enabled	team_athletic_fit_modifier	team_athletic_target_ras	player_athletic_proxy	player_athletic_source	team_athletic_tier	team_athletic_bias_reason
1	13	13	LAR	ATL	LAR g ATL (2025 Draft trade)	Arvell Reese	LB	Ohio State Buckeyes	81.78	Round 2-3	1	0.0	7.0	6.86	formula_athletic_component	C Balanced	delta_-0.14
1	14	14	BAL	BAL		Monroe Freeling	OT	Georgia	80.85	Round 2-3	1	-0.03	7.68	6.89	formula_athletic_component	A+ Athlete-heavy	delta_-0.79
1	15	15	TB	TB		Romello Height	EDGE	Texas Tech Red Raiders	81.13	Round 2-3	1	0.045	7.02	8.89	formula_athletic_component	B Balanced-athletic	delta_1.87
1	16	16	NYJ	IND	NYJ g IND (A Gardner)	Makai Lemon	WR	USC Trojans	81.66	Round 2-3	1	-0.015	7.2	6.83	formula_athletic_component	A Athlete-lean	delta_-0.37
1	17	17	DET	DET		Keldric Faulk	EDGE	Auburn	81.12	Round 2-3	1	0.015	6.87	7.08	formula_athletic_component	D Film/production-tolerant	delta_0.21
1	18	18	MIN	MIN		Caleb Banks	DT	Florida Gators	80.81	Round 2-3	1	0.045	6.7	8.74	formula_athletic_component	D Film/production-tolerant	delta_2.04
1	19	19	CAR	CAR		Denzel Boston	WR	Washington	81.43	Round 2-3	1	0.0	7.18	7.01	formula_athletic_component	B Balanced-athletic	delta_-0.17
1	20	20	DAL	GB	DAL g GB (M Parsons)	Christen Miller	DT	Georgia Bulldogs	81.1	Round 2-3	1	-0.015	7.23	6.82	formula_athletic_component	A Athlete-lean	delta_-0.41
1	21	21	PIT	PIT		Kayden McDonald	DT	Ohio State Buckeyes	80.9	Round 2-3	1	0.0	6.71	6.82	formula_athletic_component	C Balanced	delta_0.11
1	22	22	LAC	LAC		Emmanuel McNeil-Warren	S	Toledo Rockets	81.7	Round 2-3	1	0.0	6.89	6.8	formula_athletic_component	C Balanced	delta_-0.09
1	23	23	PHI	PHI		Zion Young	EDGE	Missouri Tigers	80.98	Round 2-3	1	-0.03	7.47	6.92	formula_athletic_component	A Athlete-lean	delta_-0.55
1	24	24	CLE	JAX	CLE g JAX (2025 Draft Trade)	Nyck Harbor	WR	South Carolina	81.4	Round 2-3	1	0.03	6.13	6.83	formula_athletic_component	D Film/production-tolerant	delta_0.7
1	25	25	CHI	CHI		Caleb Lomu	OT	Utah	80.43	Round 2-3	1	-0.03	7.46	6.75	formula_athletic_component	B Balanced-athletic	delta_-0.71
1	26	26	BUF	BUF		Dillon Thieneman	S	Oregon	81.66	Round 2-3	1	0.015	6.63	6.83	formula_athletic_component	D Film/production-tolerant	delta_0.2
1	27	27	SF	SF		Spencer Fano	OT	Utah	80.13	Round 2-3	1	-0.03	7.4	6.67	formula_athletic_component	C Balanced	delta_-0.73
1	28	28	HOU	HOU		Skyler Bell	WR	Connecticut Huskies	81.34	Round 2-3	1	0.03	6.31	6.83	formula_athletic_component	D Film/production-tolerant	delta_0.52
1	29	29	LAR	LAR		C.J. Allen	LB	Georgia	81.54	Round 2-3	1	-0.015	7.0	6.78	formula_athletic_component	C Balanced	delta_-0.22
1	30	30	DEN	DEN		Jordyn Tyson	WR	Arizona State	81.22	Round 2-3	1	0.0	6.86	6.79	formula_athletic_component	B Balanced-athletic	delta_-0.07
1	31	31	NE	NE		Blake Miller	OT	Clemson Tigers	79.51	Round 4-5	1	-0.015	7.22	6.89	formula_athletic_component	C Balanced	delta_-0.33
1	32	32	SEA	SEA		Olaivavega Ioane	IOL	Penn State Nittany Lions	81.05	Round 2-3	1	0.0	6.75	6.76	formula_athletic_component	A Athlete-lean	delta_0.01
