consensus_rank,player_name,position,school,final_grade,round_value,consensus_board_mean_rank,consensus_board_rank_std,consensus_board_source_count,formula_score,formula_production_component,formula_trait_component,formula_athletic_component,formula_risk_penalty,language_adjustment_applied,best_team_fit,variance_flag
60,CJ Daniels,WR,Miami (FL) Hurricanes,79.46,Round 4-5,114.67,30.09,3,80.36,65.66,60.0,70.0,1.01,0.0,CLE,high_variance
61,Takye Heath,CB,Georgia Tech,79.42,Round 4-5,,,,79.82,63.0,60.0,70.0,1.23,0.0,JAX,high_variance
62,Lee Hunter,DT,Texas Tech Red Raiders,79.38,Round 4-5,33.8,8.91,5,79.83,69.71,51.33,70.0,0.44,-0.45,BUF,low_variance
63,Zachariah Branch,WR,Georgia,79.38,Round 4-5,57.25,15.48,4,80.11,70.26,55.23,70.0,0.44,-0.1691,CLE,low_variance
64,Gabe Jacas,EDGE,Illinois Fighting Illini,79.35,Round 4-5,48.5,5.94,4,80.38,69.02,53.9,70.0,0.44,-0.1136,ATL,low_variance
65,Evan Stewart,WR,Oregon,79.19,Round 4-5,,,,79.59,63.0,60.0,70.0,1.23,0.0,CLE,high_variance
66,T.J. Searcy,EDGE,Texas A&M,79.13,Round 4-5,,,,79.53,63.7,60.0,70.0,1.68,0.0,ATL,high_variance
67,Derrick Moore,EDGE,Michigan,79.13,Round 4-5,62.0,2.94,3,79.82,70.0,56.34,70.0,1.39,-0.2538,ATL,low_variance
68,Eugene Brooks III,IOL,Oklahoma,79.04,Round 4-5,,,,79.44,63.0,60.0,70.0,1.23,0.0,DET,high_variance
69,Deion Burks,WR,Oklahoma Sooners,78.98,Round 4-5,82.5,20.22,4,80.21,63.0,58.37,70.0,0.44,-0.137,CLE,low_variance
70,Malachi Fields,WR,Notre Dame Fighting Irish,78.96,Round 4-5,53.8,21.65,5,79.87,68.08,53.7,70.0,0.44,-0.4222,CLE,low_variance
71,Caleb Banks,DT,Florida Gators,78.89,Round 4-5,27.6,6.12,5,79.46,66.51,47.99,78.0,1.12,-0.5694,BUF,low_variance
72,Chris Brazzell II,WR,Tennessee Volunteers,78.86,Round 4-5,62.5,12.5,2,79.56,69.92,51.07,70.0,1.01,-0.1037,CLE,medium_variance
73,Josiah Trotter,LB,Missouri Tigers,78.71,Round 4-5,59.25,6.18,4,79.6,67.62,52.68,70.0,0.44,-0.2741,LAR,low_variance
74,Eli Stowers,TE,Vanderbilt,78.65,Round 4-5,56.67,9.53,3,79.84,70.76,51.71,70.0,0.44,-0.3333,IND,low_variance
75,Justin Flowe,LB,Arizona,78.61,Round 4-5,,,,79.01,63.7,60.0,70.0,1.23,0.0,LAR,high_variance
76,Nicholas Singleton,RB,Penn State,78.56,Round 4-5,109.5,0.5,2,79.81,68.1,60.0,70.0,1.01,0.0,DAL,medium_variance
77,LT Overton,EDGE,Alabama,78.37,Round 4-5,36.4,24.41,5,78.39,65.29,50.19,70.0,1.01,-0.0241,ATL,medium_variance
78,Isaiah World,OT,Oregon,78.32,Round 4-5,102.33,8.34,3,79.69,63.0,60.0,70.0,1.01,0.0,LAR,medium_variance
79,Chris Bell,WR,Louisville,78.3,Round 4-5,45.67,6.94,3,78.83,70.76,50.65,70.0,0.44,-0.0796,CLE,low_variance
80,Jonah Coleman,RB,Washington Huskies,78.28,Round 4-5,77.33,2.49,3,79.64,70.68,53.49,70.0,0.44,-0.2296,DAL,low_variance
81,Gennings Dunker,OT,Iowa Hawkeyes,78.26,Round 4-5,64.0,13.93,3,79.54,71.79,51.96,70.0,0.44,-0.1525,LAR,low_variance
82,Elijah Sarratt,WR,Indiana Hoosiers,78.22,Round 4-5,63.0,2.16,3,78.89,72.27,50.19,70.0,1.01,-0.0241,CLE,medium_variance
83,Eric Singleton Jr.,WR,Auburn,78.19,Round 4-5,,,,78.27,63.0,51.71,70.0,1.01,-0.0759,CLE,high_variance
84,Jermayne Lole,DT,Louisville,78.18,Round 4-5,,,,78.58,63.7,60.0,70.0,1.23,0.0,BUF,high_variance
85,Jadarian Price,RB,Notre Dame Fighting Irish,78.16,Round 4-5,51.5,5.72,4,79.44,69.17,53.04,70.0,0.44,-0.4722,DAL,low_variance
86,KC Concepcion,WR,Texas A&M Aggies,78.14,Round 4-5,27.5,3.2,4,78.54,69.91,49.61,70.0,2.64,-0.3962,CLE,low_variance
87,Hollin Pierce,OT,Rutgers,78.09,Round 4-5,,,,78.49,63.0,60.0,70.0,1.23,0.0,LAR,high_variance
88,Seth McGowan,RB,Kentucky Wildcats,78.07,Round 4-5,127.0,32.0,2,78.79,64.54,60.0,70.0,1.01,0.0,DAL,high_variance
89,Joshua Josephs,EDGE,Tennessee Volunteers,78.05,Round 4-5,68.67,6.13,3,79.49,71.35,51.45,70.0,0.94,-0.73,ATL,low_variance
90,Makhi Hughes,RB,Oregon,78.0,Round 4-5,,,,78.4,63.0,60.0,70.0,1.23,0.0,DAL,high_variance
91,De'Zhaun Stribling,WR,Mississippi Rebels,78.0,Round 4-5,148.5,41.5,2,80.22,69.04,60.0,70.0,1.01,0.0,CLE,high_variance
92,J.C. Davis,OT,Illinois Fighting Illini,78.0,Round 4-5,135.67,19.26,3,81.66,74.82,60.0,70.0,1.01,0.0,LAR,medium_variance
93,Michael Taaffe,S,Texas Longhorns,78.0,Round 4-5,130.33,18.26,3,80.88,73.29,60.0,70.0,1.26,0.0,MIA,medium_variance
94,Xavier Chaplin,OT,Auburn,77.99,Round 4-5,,,,78.39,63.0,60.0,70.0,1.23,0.0,LAR,high_variance
95,Anthony Hill Jr.,LB,Texas Longhorns,77.9,Round 4-5,34.5,12.69,6,78.17,67.57,52.61,56.25,0.22,-0.2741,LAR,low_variance
96,Langston Jones,OT,Lehigh,77.86,Round 4-5,,,,77.87,63.0,46.99,70.0,1.23,-0.0064,LAR,high_variance
97,Albert Regis,DT,Texas A&M Aggies,77.83,Round 4-5,154.67,26.04,3,81.45,67.57,60.0,78.0,0.44,0.0,BUF,medium_variance
98,Justice Boone,RB,Colorado,77.81,Round 4-5,,,,78.21,63.0,60.0,70.0,1.23,0.0,DAL,high_variance
99,Tyreak Sapp,EDGE,Florida,77.79,Round 4-5,134.0,25.92,3,79.56,65.52,60.0,70.0,1.46,0.0,ATL,high_variance
100,Daniel Sobkowicz,WR,Illinois State,77.76,Round 4-5,,,,77.77,63.0,46.99,70.0,1.23,-0.0064,CLE,high_variance
