team,position,position_bucket,sample_n_2021_2025,ras_proxy_avg_2021_2025,ras_proxy_q50_2021_2025,team_bucket_threshold_ras,team_position_threshold_ras,position_threshold_confidence_weight,threshold_year_start,threshold_year_end
DEN,TE,low,1,5.5,5.5,6.8,6.8,0.0,2021,2025
DEN,WR,mid,4,6.211,6.401,7.2,6.86,0.429,2021,2025
DET,CB,premium,4,5.748,5.731,7.1,6.51,0.429,2021,2025
DET,DT,mid,1,5.5,5.5,6.7,6.7,0.0,2021,2025
DET,EDGE,premium,3,6.342,6.31,7.1,6.87,0.286,2021,2025
DET,IOL,low,2,6.347,6.347,6.3,6.31,0.143,2021,2025
DET,LB,mid,2,6.677,6.677,6.7,6.7,0.143,2021,2025
DET,QB,premium,1,6.051,6.051,7.1,7.1,0.0,2021,2025
DET,RB,low,2,6.001,6.001,6.3,6.26,0.143,2021,2025
DET,S,mid,3,6.114,6.144,6.7,6.54,0.286,2021,2025
DET,TE,low,2,5.858,5.858,6.3,6.24,0.143,2021,2025
DET,WR,mid,3,6.021,6.022,6.7,6.51,0.286,2021,2025
GB,CB,premium,2,5.938,5.938,7.4,7.19,0.143,2021,2025
GB,DT,mid,2,6.55,6.55,7.0,6.94,0.143,2021,2025
GB,EDGE,premium,2,5.909,5.909,7.4,7.19,0.143,2021,2025
GB,IOL,low,5,6.205,6.285,6.6,6.42,0.571,2021,2025
GB,LB,mid,3,6.473,6.261,7.0,6.79,0.286,2021,2025
GB,OT,premium,2,5.838,5.838,7.4,7.18,0.143,2021,2025
GB,QB,premium,1,5.856,5.856,7.4,7.4,0.0,2021,2025
GB,RB,low,2,6.262,6.262,6.6,6.55,0.143,2021,2025
GB,S,mid,3,5.849,5.891,7.0,6.68,0.286,2021,2025
GB,TE,low,1,6.878,6.878,6.6,6.6,0.0,2021,2025
GB,WR,mid,5,6.131,5.707,7.0,6.26,0.571,2021,2025
HOU,CB,premium,2,6.461,6.461,7.1,7.01,0.143,2021,2025
HOU,DT,mid,2,5.747,5.747,6.7,6.56,0.143,2021,2025
HOU,EDGE,premium,2,6.371,6.371,7.1,7.0,0.143,2021,2025
HOU,IOL,low,4,5.745,5.736,6.3,6.06,0.429,2021,2025
HOU,LB,mid,3,6.117,6.161,6.7,6.55,0.286,2021,2025
HOU,OT,premium,2,5.774,5.774,7.1,6.91,0.143,2021,2025
HOU,QB,premium,2,5.727,5.727,7.1,6.9,0.143,2021,2025
HOU,RB,low,2,5.712,5.712,6.3,6.22,0.143,2021,2025
HOU,S,mid,3,5.991,5.812,6.7,6.45,0.286,2021,2025
HOU,TE,low,3,6.033,5.638,6.3,6.11,0.286,2021,2025
HOU,WR,mid,4,5.956,5.789,6.7,6.31,0.429,2021,2025
IND,CB,premium,3,6.417,6.756,8.3,7.86,0.286,2021,2025
IND,EDGE,premium,2,6.748,6.748,8.3,8.08,0.143,2021,2025
IND,IOL,low,1,6.444,6.444,7.3,7.3,0.0,2021,2025
IND,OT,premium,2,6.213,6.213,8.3,8.0,0.143,2021,2025
IND,QB,premium,2,6.554,6.554,8.3,8.05,0.143,2021,2025
IND,S,mid,5,6.685,6.934,7.8,7.31,0.571,2021,2025
IND,TE,low,2,6.636,6.636,7.3,7.21,0.143,2021,2025
IND,WR,mid,4,6.544,6.497,7.8,7.24,0.429,2021,2025
JAX,CB,premium,3,6.381,6.452,7.7,7.34,0.286,2021,2025
JAX,DT,mid,2,6.392,6.392,7.2,7.08,0.143,2021,2025
JAX,EDGE,premium,4,6.468,6.476,7.7,7.18,0.429,2021,2025
JAX,IOL,low,1,5.5,5.5,6.8,6.8,0.0,2021,2025
JAX,LB,mid,4,6.438,6.588,7.2,6.94,0.429,2021,2025
JAX,OT,premium,3,5.972,5.973,7.7,7.21,0.286,2021,2025
JAX,QB,premium,1,6.29,6.29,7.7,7.7,0.0,2021,2025
JAX,RB,low,4,6.046,6.058,6.8,6.48,0.429,2021,2025
JAX,S,mid,3,5.906,5.646,7.2,6.76,0.286,2021,2025
JAX,TE,low,2,5.889,5.889,6.8,6.67,0.143,2021,2025
JAX,WR,mid,2,6.645,6.645,7.2,7.12,0.143,2021,2025
KC,CB,premium,5,6.188,6.339,7.7,6.92,0.571,2021,2025
KC,DT,mid,1,5.5,5.5,7.2,7.2,0.0,2021,2025
KC,EDGE,premium,2,6.389,6.389,7.7,7.51,0.143,2021,2025
KC,IOL,low,3,5.985,5.976,6.8,6.56,0.286,2021,2025
KC,LB,mid,2,6.487,6.487,7.2,7.1,0.143,2021,2025
KC,OT,premium,2,5.886,5.886,7.7,7.44,0.143,2021,2025
KC,RB,low,1,6.655,6.655,6.8,6.8,0.0,2021,2025
KC,S,mid,3,6.327,6.317,7.2,6.95,0.286,2021,2025
KC,TE,low,2,6.021,6.021,6.8,6.69,0.143,2021,2025
KC,WR,mid,4,6.082,5.952,7.2,6.67,0.429,2021,2025
LAC,CB,premium,2,5.694,5.694,7.4,7.16,0.143,2021,2025
LAC,DT,mid,2,6.268,6.268,7.0,6.9,0.143,2021,2025
LAC,EDGE,premium,2,5.971,5.971,7.4,7.2,0.143,2021,2025
LAC,IOL,low,5,6.026,6.156,6.6,6.35,0.571,2021,2025
LAC,LB,mid,2,6.224,6.224,7.0,6.89,0.143,2021,2025
LAC,OT,premium,1,7.595,7.595,7.4,7.4,0.0,2021,2025
LAC,QB,premium,1,5.5,5.5,7.4,7.4,0.0,2021,2025
LAC,RB,low,3,6.007,6.088,6.6,6.45,0.286,2021,2025
LAC,S,mid,2,6.22,6.22,7.0,6.89,0.143,2021,2025
LAC,TE,low,1,5.858,5.858,6.6,6.6,0.0,2021,2025
LAC,WR,mid,5,6.386,6.237,7.0,6.56,0.571,2021,2025
LAR,CB,premium,3,6.296,6.319,7.4,7.09,0.286,2021,2025
LAR,DT,mid,2,5.856,5.856,7.0,6.84,0.143,2021,2025
LAR,EDGE,premium,5,6.104,6.097,7.4,6.66,0.571,2021,2025
LAR,IOL,low,2,6.326,6.326,6.6,6.56,0.143,2021,2025
LAR,LB,mid,1,5.833,5.833,7.0,7.0,0.0,2021,2025
LAR,OT,premium,1,5.5,5.5,7.4,7.4,0.0,2021,2025
LAR,QB,premium,1,5.5,5.5,7.4,7.4,0.0,2021,2025
LAR,RB,low,4,6.16,6.252,6.6,6.45,0.429,2021,2025
LAR,S,mid,3,5.912,5.862,7.0,6.67,0.286,2021,2025
LAR,TE,low,1,6.517,6.517,6.6,6.6,0.0,2021,2025
LAR,WR,mid,3,6.195,6.517,7.0,6.86,0.286,2021,2025
LV,CB,premium,2,6.899,6.899,7.4,7.33,0.143,2021,2025
LV,DT,mid,3,5.706,5.527,7.0,6.58,0.286,2021,2025
LV,EDGE,premium,2,6.409,6.409,7.4,7.26,0.143,2021,2025
LV,IOL,low,4,6.093,5.941,6.6,6.32,0.429,2021,2025
LV,LB,mid,1,6.019,6.019,7.0,7.0,0.0,2021,2025
LV,OT,premium,2,5.875,5.875,7.4,7.18,0.143,2021,2025
LV,QB,premium,1,5.861,5.861,7.4,7.4,0.0,2021,2025
LV,RB,low,1,7.018,7.018,6.6,6.6,0.0,2021,2025
LV,S,mid,4,6.2,6.353,7.0,6.72,0.429,2021,2025
LV,TE,low,2,5.806,5.806,6.6,6.49,0.143,2021,2025
LV,WR,mid,1,6.215,6.215,7.0,7.0,0.0,2021,2025
MIA,CB,premium,1,6.568,6.568,8.3,8.3,0.0,2021,2025
MIA,EDGE,premium,1,5.871,5.871,8.3,8.3,0.0,2021,2025
MIA,IOL,low,1,6.461,6.461,7.3,7.3,0.0,2021,2025
MIA,LB,mid,1,6.658,6.658,7.8,7.8,0.0,2021,2025
MIA,OT,premium,2,6.492,6.492,8.3,8.04,0.143,2021,2025
MIA,QB,premium,1,5.5,5.5,8.3,8.3,0.0,2021,2025
MIA,RB,low,2,6.817,6.817,7.3,7.23,0.143,2021,2025
MIA,S,mid,1,6.446,6.446,7.8,7.8,0.0,2021,2025
MIA,WR,mid,3,6.172,6.175,7.8,7.34,0.286,2021,2025
MIN,CB,premium,6,6.069,6.044,7.1,6.35,0.714,2021,2025
MIN,DT,mid,1,5.627,5.627,6.7,6.7,0.0,2021,2025
MIN,EDGE,premium,2,6.859,6.859,7.1,7.07,0.143,2021,2025
MIN,IOL,low,2,5.655,5.655,6.3,6.21,0.143,2021,2025
MIN,LB,mid,2,5.947,5.947,6.7,6.59,0.143,2021,2025
MIN,OT,premium,2,5.829,5.829,7.1,6.92,0.143,2021,2025
MIN,QB,premium,2,5.929,5.929,7.1,6.93,0.143,2021,2025
MIN,RB,low,1,6.566,6.566,6.3,6.3,0.0,2021,2025
MIN,S,mid,1,6.95,6.95,6.7,6.7,0.0,2021,2025
MIN,WR,mid,3,5.65,5.5,6.7,6.36,0.286,2021,2025
NE,CB,premium,4,6.252,6.139,7.4,6.86,0.429,2021,2025
NE,EDGE,premium,2,6.268,6.268,7.4,7.24,0.143,2021,2025
NE,IOL,low,5,5.886,5.5,6.6,5.97,0.571,2021,2025
NE,OT,premium,2,6.155,6.155,7.4,7.22,0.143,2021,2025
NE,QB,premium,4,6.22,6.046,7.4,6.82,0.429,2021,2025
NE,RB,low,3,6.367,6.614,6.6,6.6,0.286,2021,2025
NE,S,mid,1,6.636,6.636,7.0,7.0,0.0,2021,2025
NE,TE,low,1,5.5,5.5,6.6,6.6,0.0,2021,2025
NE,WR,mid,5,6.071,6.048,7.0,6.46,0.571,2021,2025
NO,CB,premium,3,6.762,6.677,8.3,7.84,0.286,2021,2025
NO,DT,mid,2,6.227,6.227,7.8,7.58,0.143,2021,2025
NO,EDGE,premium,1,6.53,6.53,8.3,8.3,0.0,2021,2025
NO,LB,mid,3,6.334,6.4,7.8,7.4,0.286,2021,2025
NO,OT,premium,3,6.732,6.808,8.3,7.87,0.286,2021,2025
NO,QB,premium,3,5.5,5.5,8.3,7.5,0.286,2021,2025
NO,RB,low,1,6.472,6.472,7.3,7.3,0.0,2021,2025
NO,S,mid,1,5.817,5.817,7.8,7.8,0.0,2021,2025
NO,WR,mid,3,6.494,6.513,7.8,7.43,0.286,2021,2025
NYG,CB,premium,4,6.344,6.288,8.0,7.27,0.429,2021,2025
NYG,DT,mid,1,5.973,5.973,7.5,7.5,0.0,2021,2025
NYG,EDGE,premium,2,6.16,6.16,8.0,7.74,0.143,2021,2025
NYG,IOL,low,2,6.403,6.403,7.0,6.91,0.143,2021,2025
NYG,LB,mid,3,6.222,6.217,7.5,7.13,0.286,2021,2025
NYG,OT,premium,1,7.602,7.602,8.0,8.0,0.0,2021,2025
NYG,RB,low,3,6.227,6.18,7.0,6.77,0.286,2021,2025
NYG,S,mid,4,6.05,6.112,7.5,6.91,0.429,2021,2025
NYG,TE,low,1,6.454,6.454,7.0,7.0,0.0,2021,2025
NYG,WR,mid,4,6.194,6.292,7.5,6.98,0.429,2021,2025
NYJ,CB,premium,1,6.825,6.825,8.0,8.0,0.0,2021,2025
NYJ,EDGE,premium,2,6.669,6.669,8.0,7.81,0.143,2021,2025
NYJ,IOL,low,2,6.518,6.518,7.0,6.93,0.143,2021,2025
NYJ,OT,premium,2,5.756,5.756,8.0,7.68,0.143,2021,2025
NYJ,QB,premium,2,5.558,5.558,8.0,7.65,0.143,2021,2025
NYJ,RB,low,4,6.523,6.49,7.0,6.78,0.429,2021,2025
NYJ,S,mid,3,5.861,5.997,7.5,7.07,0.286,2021,2025
NYJ,TE,low,1,6.228,6.228,7.0,7.0,0.0,2021,2025
NYJ,WR,mid,3,6.578,6.443,7.5,7.2,0.286,2021,2025
PHI,CB,premium,3,6.983,7.063,8.0,7.73,0.286,2021,2025
PHI,DT,mid,3,6.62,6.329,7.5,7.17,0.286,2021,2025
PHI,EDGE,premium,3,5.991,6.141,8.0,7.47,0.286,2021,2025
PHI,IOL,low,3,5.811,5.526,7.0,6.58,0.286,2021,2025
PHI,LB,mid,2,5.5,5.5,7.5,7.21,0.143,2021,2025
PHI,OT,premium,1,6.64,6.64,8.0,8.0,0.0,2021,2025
PHI,QB,premium,1,6.581,6.581,8.0,8.0,0.0,2021,2025
PHI,RB,low,2,6.505,6.505,7.0,6.93,0.143,2021,2025
PHI,S,mid,2,6.391,6.391,7.5,7.34,0.143,2021,2025
PHI,TE,low,1,5.719,5.719,7.0,7.0,0.0,2021,2025
PHI,WR,mid,2,6.433,6.433,7.5,7.35,0.143,2021,2025
PIT,CB,premium,3,6.563,6.56,7.4,7.16,0.286,2021,2025
PIT,DT,mid,3,5.891,5.969,7.0,6.71,0.286,2021,2025
PIT,EDGE,premium,2,5.612,5.612,7.4,7.14,0.143,2021,2025
PIT,IOL,low,2,5.651,5.651,6.6,6.46,0.143,2021,2025
PIT,LB,mid,1,6.792,6.792,7.0,7.0,0.0,2021,2025
PIT,OT,premium,2,5.665,5.665,7.4,7.15,0.143,2021,2025
PIT,QB,premium,1,6.05,6.05,7.4,7.4,0.0,2021,2025
PIT,S,mid,1,5.5,5.5,7.0,7.0,0.0,2021,2025
PIT,TE,low,3,6.413,6.478,6.6,6.57,0.286,2021,2025
PIT,WR,mid,3,6.423,6.181,7.0,6.77,0.286,2021,2025
SEA,CB,premium,5,6.409,6.251,8.0,7.2,0.571,2021,2025
SEA,DT,mid,1,5.782,5.782,7.5,7.5,0.0,2021,2025
SEA,EDGE,premium,4,6.17,6.045,8.0,7.2,0.429,2021,2025
SEA,IOL,low,4,6.381,6.408,7.0,6.75,0.429,2021,2025
SEA,LB,mid,1,5.5,5.5,7.5,7.5,0.0,2021,2025
SEA,OT,premium,2,6.029,6.029,8.0,7.72,0.143,2021,2025
SEA,RB,low,3,6.27,6.485,7.0,6.85,0.286,2021,2025
SEA,TE,low,1,6.638,6.638,7.0,7.0,0.0,2021,2025
SEA,WR,mid,3,6.351,6.341,7.5,7.17,0.286,2021,2025
SF,CB,premium,4,6.051,5.833,7.4,6.73,0.429,2021,2025
SF,DT,mid,1,5.5,5.5,7.0,7.0,0.0,2021,2025
SF,EDGE,premium,2,6.396,6.396,7.4,7.26,0.143,2021,2025
SF,IOL,low,4,6.197,6.327,6.6,6.48,0.429,2021,2025
SF,LB,mid,3,5.5,5.5,7.0,6.57,0.286,2021,2025
SF,OT,premium,1,6.253,6.253,7.4,7.4,0.0,2021,2025
SF,QB,premium,2,5.944,5.944,7.4,7.19,0.143,2021,2025
SF,RB,low,4,6.754,6.549,6.6,6.58,0.429,2021,2025
SF,S,mid,4,5.919,5.982,7.0,6.56,0.429,2021,2025
SF,TE,low,2,5.578,5.578,6.6,6.45,0.143,2021,2025
SF,WR,mid,4,6.156,6.005,7.0,6.57,0.429,2021,2025
TB,CB,premium,1,8.001,8.001,7.7,7.7,0.0,2021,2025
TB,DT,mid,1,5.5,5.5,7.2,7.2,0.0,2021,2025
TB,EDGE,premium,4,6.236,6.119,7.7,7.02,0.429,2021,2025
TB,IOL,low,3,6.297,6.538,6.8,6.73,0.286,2021,2025
TB,LB,mid,2,5.549,5.549,7.2,6.96,0.143,2021,2025
TB,QB,premium,1,5.975,5.975,7.7,7.7,0.0,2021,2025
TB,RB,low,2,6.184,6.184,6.8,6.71,0.143,2021,2025
TB,S,mid,1,5.955,5.955,7.2,7.2,0.0,2021,2025
TB,TE,low,3,6.141,6.168,6.8,6.62,0.286,2021,2025
TB,WR,mid,3,6.272,6.18,7.2,6.91,0.286,2021,2025
TEN,CB,premium,2,6.082,6.082,7.1,6.95,0.143,2021,2025
TEN,DT,mid,1,6.741,6.741,6.7,6.7,0.0,2021,2025
TEN,EDGE,premium,1,6.348,6.348,7.1,7.1,0.0,2021,2025
TEN,LB,mid,3,6.006,5.986,6.7,6.5,0.286,2021,2025
TEN,OT,premium,4,5.91,5.545,7.1,6.43,0.429,2021,2025
TEN,QB,premium,2,6.288,6.288,7.1,6.98,0.143,2021,2025
TEN,RB,low,2,6.675,6.675,6.3,6.35,0.143,2021,2025
TEN,S,mid,3,5.635,5.5,6.7,6.36,0.286,2021,2025
TEN,TE,low,2,6.02,6.02,6.3,6.26,0.143,2021,2025
TEN,WR,mid,5,5.731,5.5,6.7,6.01,0.571,2021,2025
WAS,CB,premium,2,6.251,6.251,7.7,7.49,0.143,2021,2025
WAS,DT,mid,2,5.818,5.818,7.2,7.0,0.143,2021,2025
WAS,EDGE,premium,3,6.19,6.357,7.7,7.32,0.286,2021,2025
WAS,IOL,low,4,6.605,6.769,6.8,6.79,0.429,2021,2025
WAS,LB,mid,2,6.531,6.531,7.2,7.1,0.143,2021,2025
WAS,QB,premium,2,5.796,5.796,7.7,7.43,0.143,2021,2025
WAS,RB,low,1,6.309,6.309,6.8,6.8,0.0,2021,2025
WAS,S,mid,5,6.453,6.424,7.2,6.76,0.571,2021,2025
WAS,TE,low,2,6.006,6.006,6.8,6.69,0.143,2021,2025
WAS,WR,mid,4,5.845,5.652,7.2,6.54,0.429,2021,2025
