source,snapshot_date,source_rank,player_name,school,position,source_url,report_text,fp_summary,fp_projection
FantasyPros_Scouting_2026,2026-02-26,55,Sonny Styles,Ohio State,LB,https://www.fantasypros.com/nfl-draft-scouting-reports/,"A fascinating prospect in that he converted from defensive back to linebacker. However, Styles brings a highly physical and powerful style of play to the linebacker position, stepping into the hole, taking on and fighting through blocks, and providing reliable tackling. Projection: Round 1 Styles looks very comfortable executing a range of coverage assignments, with excellent awareness, positioning and range on passing downs. Those traits should make him an easy first-round pick. Would be best on a creative, multiple front to showcase the versatility he offers. Check out the full 2026 NFL Draft Scouting Report for Sonny Styles >>","A fascinating prospect in that he converted from defensive back to linebacker. However, Styles brings a highly physical and powerful style of play to the linebacker position, stepping into the hole, taking on and fighting through blocks, and providing reliable tackling.",Round 1
FantasyPros_Scouting_2026,2026-02-26,56,C.J. Allen,Georgia,LB,https://www.fantasypros.com/nfl-draft-scouting-reports/,"A three-year starter and a bit of a throwback to the between-the-tackles thumpers of the past, Allen showed good patience and technique in the run game, with good decision-making, the power to take on blocks and reliable tackling. Projection: Round 2 Allen is an adequate coverage linebacker who can time his rushes effectively when sent as a blitzer. However, his overall athleticism and range don’t really pop off the tape as much as anticipated. Projecting him into the first round might be a reach despite his decorated junior season. Check out the full 2026 NFL Draft Scouting Report for C.J. Allen >>","A three-year starter and a bit of a throwback to the between-the-tackles thumpers of the past, Allen showed good patience and technique in the run game, with good decision-making, the power to take on blocks and reliable tackling.",Round 2
FantasyPros_Scouting_2026,2026-02-26,65,Fernando Mendoza,Indiana,QB,https://www.fantasypros.com/nfl-draft-scouting-reports/,"One of the cleaner quarterback prospects in recent memory, he offers an impressive combination of prototypical size, high-end decision-making, solid arm talent, and excellent accuracy which should allow him to become an effective pro passer sooner rather than later. While it would be nice to see more consistent confidence to stay in the pocket and work through reads, there really aren’t many flaws to his game, although he may not have quite the same upside as some recent top picks at the position. After his undefeated 2025 campaign culminating in the Heisman and a national championship, is currently the favorite to go number one overall on draft day. Projection: Round 1 Check out the full 2026 NFL Draft Scouting Report for Fernando Mendoza >>","One of the cleaner quarterback prospects in recent memory, he offers an impressive combination of prototypical size, high-end decision-making, solid arm talent, and excellent accuracy which should allow him to become an effective pro passer sooner rather than later. While it would be nice to see more consistent confidence to stay in the pocket and work through reads, there really aren’t many flaws to his game, although he may not have quite the same upside as some recent top picks at the position. After his undefeated 2025 campaign culminating in the Heisman and a national championship, is currently the favorite to go number one overall on draft day.",Round 1
FantasyPros_Scouting_2026,2026-02-26,66,Ty Simpson,Alabama,QB,https://www.fantasypros.com/nfl-draft-scouting-reports/,"May have only one season of starting experience under his belt, but don’t let that fool you: this is one of the more polished, pro-style quarterbacks in recent memory. Aside from elite tools, offers pretty much everything teams look for, with high marks in processing, composure, decision-making, mechanics, release, touch, and accuracy. Consequently, looks to be firmly in the first-round mix, likely as the second quarterback off the board, and could be headed for a starting role as a rookie. Projection: Round 1 Check out the full 2026 NFL Draft Scouting Report for Ty Simpson >>","May have only one season of starting experience under his belt, but don’t let that fool you: this is one of the more polished, pro-style quarterbacks in recent memory. Aside from elite tools, offers pretty much everything teams look for, with high marks in processing, composure, decision-making, mechanics, release, touch, and accuracy. Consequently, looks to be firmly in the first-round mix, likely as the second quarterback off the board, and could be headed for a starting role as a rookie.",Round 1
FantasyPros_Scouting_2026,2026-02-26,67,Carson Beck,Miami,QB,https://www.fantasypros.com/nfl-draft-scouting-reports/,"A three-year starter and proven winner at the college level, he offers the size, recognition skills, processing, and arm talent to operate effectively from the pocket as a traditional pro-style quarterback. However, there are some inconsistencies to his game which also prevent him from being the most reliable player on a snap-to-snap basis; doesn’t always respond well to pressure, and his deep balls can hang at times. Consequently, will likely be drafted as more of a high-end backup and game manager, with some starting upside if he cleans up those issues. Projection: Round 3-4 Check out the full 2026 NFL Draft Scouting Report for Carson Beck >>","A three-year starter and proven winner at the college level, he offers the size, recognition skills, processing, and arm talent to operate effectively from the pocket as a traditional pro-style quarterback. However, there are some inconsistencies to his game which also prevent him from being the most reliable player on a snap-to-snap basis; doesn’t always respond well to pressure, and his deep balls can hang at times. Consequently, will likely be drafted as more of a high-end backup and game manager, with some starting upside if he cleans up those issues.",Round 3-4
FantasyPros_Scouting_2026,2026-02-26,76,Carnell Tate,Ohio State,WR,https://www.fantasypros.com/nfl-draft-scouting-reports/,"A tall, long-limbed receiver with the speed and explosiveness to win down the field, who offers a big target with impressive focus and hands to come down with off-target throws and contested catches. Projection: Round 1 Those traits should make Tate an early starting split end for a pro team. Looks like a good bet to be the first or second receiver off the board on draft day, likely within the top five or top 10 picks. Check out the full 2026 NFL Draft Scouting Report for Carnell Tate >>","A tall, long-limbed receiver with the speed and explosiveness to win down the field, who offers a big target with impressive focus and hands to come down with off-target throws and contested catches.",Round 1
FantasyPros_Scouting_2026,2026-02-26,77,Jordyn Tyson,Arizona State,WR,https://www.fantasypros.com/nfl-draft-scouting-reports/,"A relatively long-limbed receiver with impressive route-running skills, legitimate deep speed, and excellent leaping/body control which allow him to make acrobatic catches away from his frame, it’s easy to see why he is receiving hype as a potential number-one receiver. Perhaps not the sturdiest or most physical option, but shows good competitiveness, especially as a blocker. Appears poised to be one of the first receivers off the board on Draft Day. Projection: Round 1 Check out the full 2026 NFL Draft Scouting Report for Jordyn Tyson >>","A relatively long-limbed receiver with impressive route-running skills, legitimate deep speed, and excellent leaping/body control which allow him to make acrobatic catches away from his frame, it’s easy to see why he is receiving hype as a potential number-one receiver. Perhaps not the sturdiest or most physical option, but shows good competitiveness, especially as a blocker. Appears poised to be one of the first receivers off the board on Draft Day.",Round 1
FantasyPros_Scouting_2026,2026-02-26,78,Makai Lemon,USC,WR,https://www.fantasypros.com/nfl-draft-scouting-reports/,"In most respects, Lemon is your prototypical scrappy slot receiver, with impressive quickness, snappy route-running, savvy awareness and nuance, plus competitiveness after the catch. However, he also offers a safer pair of hands than many smaller slot receivers and has a bit more volume as a downfield target because of his ability to use pace changes and control his body to make difficult adjustments. Projection: Round 1 Lemon works best when he’s able to play underneath off-zone coverage. May not have the ideal size to slide outside, but he should be able to handle a high-volume workload, with reliability that can improve the efficiency of a passing game. Check out the full 2026 NFL Draft Scouting Report for Makai Lemon >>","In most respects, Lemon is your prototypical scrappy slot receiver, with impressive quickness, snappy route-running, savvy awareness and nuance, plus competitiveness after the catch. However, he also offers a safer pair of hands than many smaller slot receivers and has a bit more volume as a downfield target because of his ability to use pace changes and control his body to make difficult adjustments.",Round 1
FantasyPros_Scouting_2026,2026-02-26,104,Jeremiyah Love,Notre Dame,RB,https://www.fantasypros.com/nfl-draft-scouting-reports/,"A very patient, elusive and flexible back in a big frame, the Heisman Trophy finalist can string together reliable positive-gains between the tackles, make defenders miss one-on-one and protect both the football and his body effectively. Projection: Round 1 While Love shows a lot of physicality as a blocker, he doesn’t seem like the most powerful runner at times. It would be nice to see him lower his shoulder and fight for yardage more consistently. Still, Love is clearly the top-rated back in this year’s class and will likely be one of the first handful of players chosen on draft day. Check out the full 2026 NFL Draft Scouting Report for Jeremiyah Love >>","A very patient, elusive and flexible back in a big frame, the Heisman Trophy finalist can string together reliable positive-gains between the tackles, make defenders miss one-on-one and protect both the football and his body effectively.",Round 1
FantasyPros_Scouting_2026,2026-02-26,105,Jadarian Price,Notre Dame,RB,https://www.fantasypros.com/nfl-draft-scouting-reports/,"Perhaps the most talented running back in the class besides Love. Price is an explosive, instinctive runner with nice patience and vision, impressive quickness and physicality and the speed to hit home runs when he finds a lane. Projection: Round 2 At this point, his talent as a runner isn’t really in much question. Rather, teams will wonder whether he can handle a full load and if he can improve as a blocker to earn more snaps on passing downs. Either way, Price looks like a solid bet to come off the board on the second day as one of the more dynamic, intriguing skill-position players in this year’s class. Check out the full 2026 NFL Draft Scouting Report for Jadarian Price >>","Perhaps the most talented running back in the class besides Love. Price is an explosive, instinctive runner with nice patience and vision, impressive quickness and physicality and the speed to hit home runs when he finds a lane.",Round 2
FantasyPros_Scouting_2026,2026-02-26,106,Jonah Coleman,Washington,RB,https://www.fantasypros.com/nfl-draft-scouting-reports/,"One of the more advanced backs in the class, Coleman is a thickly-built runner with impressive patience, vision and footwork. Those traits allow him to work effectively between the tackles. Projection: Round 3 There’s also some passing-game upside here because of his contact balance in blitz pickup and his reliable hands in the passing game. Lack of ideal top-end speed limits his upside a bit, but still looks like there’s a good chance he’ll be one of the first few backs off the board on draft day as a relatively safe option. Check out the full 2026 NFL Draft Scouting Report for Jonah Coleman >>","One of the more advanced backs in the class, Coleman is a thickly-built runner with impressive patience, vision and footwork. Those traits allow him to work effectively between the tackles.",Round 3
FantasyPros_Scouting_2026,2026-02-26,121,Kenyon Sadiq,Oregon,TE,https://www.fantasypros.com/nfl-draft-scouting-reports/,"Considered by far the best tight end prospect in the draft, Sadiq may lack ideal size for a tight end, but offers impressive power and intensity as a blocker and is a smooth mover with solid route-running skills on passing downs. Projection: Round 1 With few weaknesses to his game besides the occasional drop, Sadiq looks like a safe bet to develop into an every-down contributor at the next level. Looks like momentum is building toward his name being called in the first round. Check out the full 2026 NFL Draft Scouting Report for Kenyon Sadiq >>","Considered by far the best tight end prospect in the draft, Sadiq may lack ideal size for a tight end, but offers impressive power and intensity as a blocker and is a smooth mover with solid route-running skills on passing downs.",Round 1
FantasyPros_Scouting_2026,2026-02-26,122,Eli Stowers,Vanderbilt,TE,https://www.fantasypros.com/nfl-draft-scouting-reports/,"One of the more impressive athletes at tight end in this year’s class, he is relatively new to the position but has made significant strides year-on-year, proving that he can produce against SEC competition over the past two seasons. In terms of his suddenness, quickness, and speed, almost looks more like a big wide receiver, with relatively sophisticated route-running skills, a reliable pair of hands, and the ability to create after the catch. While he may never be the most dominant blocker, he has the range and agility to line up opponents in space when pulling or stalking. Projects as a flex tight end/big slot who could get some second-day looks. Projection: Round 3 Check out the full 2026 NFL Draft Scouting Report for Eli Stowers >>","One of the more impressive athletes at tight end in this year’s class, he is relatively new to the position but has made significant strides year-on-year, proving that he can produce against SEC competition over the past two seasons. In terms of his suddenness, quickness, and speed, almost looks more like a big wide receiver, with relatively sophisticated route-running skills, a reliable pair of hands, and the ability to create after the catch. While he may never be the most dominant blocker, he has the range and agility to line up opponents in space when pulling or stalking. Projects as a flex tight end/big slot who could get some second-day looks.",Round 3
FantasyPros_Scouting_2026,2026-02-26,123,Michael Trigg,Baylor,TE,https://www.fantasypros.com/nfl-draft-scouting-reports/,"A long-limbed flex tight end who shows good competitiveness as a blocker and offers a solid combination of speed and ball skills as a receiver, but whose game is a bit raw at this point. As it currently stands, his effort and physicality in the run game are more impressive than his technique, and he could also stand to become a more focused receiver, with a greater emphasis on route-running craftsmanship. Still, there’s a lot of potential here, so look for him to draw plenty of interest as a developmental flex with upside. Projection: Round 3-4 Check out the full 2026 NFL Draft Scouting Report for Michael Trigg >>","A long-limbed flex tight end who shows good competitiveness as a blocker and offers a solid combination of speed and ball skills as a receiver, but whose game is a bit raw at this point. As it currently stands, his effort and physicality in the run game are more impressive than his technique, and he could also stand to become a more focused receiver, with a greater emphasis on route-running craftsmanship. Still, there’s a lot of potential here, so look for him to draw plenty of interest as a developmental flex with upside.",Round 3-4
FantasyPros_Scouting_2026,2026-02-26,137,Caleb Downs,Ohio State,DB,https://www.fantasypros.com/nfl-draft-scouting-reports/,"One of the most disciplined, intelligent and consistent prospects in the class, Downs looks just as comfortable working down into the box to defend the run and tackle ball-carriers as he does working in different types of zone coverage, from traditional high-zone looks to zones closer to the line of scrimmage. Projection: Round 1 Downs might not have quite as sexy a highlight reel as some other top safeties in recent drafts, but he is probably safer and more well-rounded. Looks like a safe bet to be a high first-round pick and early, long-term starter. Check out the full 2026 NFL Draft Scouting Report for Caleb Downs >>","One of the most disciplined, intelligent and consistent prospects in the class, Downs looks just as comfortable working down into the box to defend the run and tackle ball-carriers as he does working in different types of zone coverage, from traditional high-zone looks to zones closer to the line of scrimmage.",Round 1
FantasyPros_Scouting_2026,2026-02-26,138,Brandon Cisse,South Carolina,CB,https://www.fantasypros.com/nfl-draft-scouting-reports/,"A tall, lanky cornerback with excellent athleticism and twitch, he was rarely tested this past year for the Gamecocks, playing a lot of zone coverage from shuffle techniques and bump-and-run. His physicality and ability to use his length stand out, and there’s pretty solid route processing/anticipation on tape as well. There’s a little bit of projection required here because the team’s scheme doesn’t provide a ton of tape in some of the techniques/coverages you’d like to see, but what’s there looks very good. These are starting-caliber tools, potentially those of a number-one corner, so look for him to come off the board early. Projection: Round 1 Check out the full 2026 NFL Draft Scouting Report for Brandon Cisse >>","A tall, lanky cornerback with excellent athleticism and twitch, he was rarely tested this past year for the Gamecocks, playing a lot of zone coverage from shuffle techniques and bump-and-run. His physicality and ability to use his length stand out, and there’s pretty solid route processing/anticipation on tape as well. There’s a little bit of projection required here because the team’s scheme doesn’t provide a ton of tape in some of the techniques/coverages you’d like to see, but what’s there looks very good. These are starting-caliber tools, potentially those of a number-one corner, so look for him to come off the board early.",Round 1
FantasyPros_Scouting_2026,2026-02-26,139,Emmanuel McNeil-Warren,Toledo,DB,https://www.fantasypros.com/nfl-draft-scouting-reports/,"A big, long-limbed strong safety with impressive explosiveness and physicality, traits which allow McNeil-Warren to punish ball-carriers when playing downhill in the run game or driving on spots in coverage. He has also shown an impressive nose for the ball, whether in terms of forcing fumbles or breaking up throws down the field. Projection: Round 2 Could stand to improve the speed at which he processes/recognizes what offenses are trying to do when working in coverage. Tools and temperament will likely have him off the board within the first couple of rounds. Somewhat reminiscent of 2021 second-rounder Trevon Moehrig . Check out the full 2026 NFL Draft Scouting Report for Emmanuel McNeil-Warren >>","A big, long-limbed strong safety with impressive explosiveness and physicality, traits which allow McNeil-Warren to punish ball-carriers when playing downhill in the run game or driving on spots in coverage. He has also shown an impressive nose for the ball, whether in terms of forcing fumbles or breaking up throws down the field.",Round 2
FantasyPros_Scouting_2026,2026-02-26,163,Kamari Ramsey,USC,DB,https://www.fantasypros.com/nfl-draft-scouting-reports/,"In addition to our 2026 NFL Draft Scouting Reports, a premium subscription will get you access to our FantasyPros Discord . There, you will be able to interact directly with our analysts and ask them questions about fantasy football draft strategy and roster construction, join in fantasy football mock drafts against our experts, and more through community channels and a rolling AMA for each analyst! Footer Sections of the Site NFL MLB NBA NHL Advertisers Advertise With Us Affiliates Affiliate Application Expert Platform Gift Cards Mobile Apps News Desk Shop Sports Betting Bottom Menu Utility Links FantasyPros on YouTube FantasyPros on Twitter FantasyPros on Instagram FantasyPros on Facebook Privacy Do Not Sell Terms Accessibility Company Blog Jobs Contact Help Premium Sign Up Sign In © 2010- FantasyPros.com. All rights reserved. FantasyPros® and the FantasyPros logo are registered trademarks of Marzen Media LLC Do Not Sell My Personal Information Do Not Sell Are you looking to contact Customer Support about a subscription or account related question? Yes No, I'm a California resident looking for the California Consumer Privacy Act form","In addition to our 2026 NFL Draft Scouting Reports, a premium subscription will get you access to our FantasyPros Discord . There, you will be able to interact directly with our analysts and ask them questions about fantasy football draft strategy and roster construction, join in fantasy football mock drafts against our experts, and more through community channels and a rolling AMA for each analyst!",
