round,pick_in_round,overall_pick,original_team,current_team,trade_note,source_url
7,17,233,DET,JAX,JAX g DET (R Patterson),https://www.drafttek.com/NFL-Trade-Value-Chart.asp
7,19,235,CAR,MIN,MIN g CAR (A Thielen),https://www.drafttek.com/NFL-Trade-Value-Chart.asp
7,22,238,LAC,TEN,TEN g LAC (E Molden),https://www.drafttek.com/NFL-Trade-Value-Chart.asp
7,23,239,CLE,CHI,CHI g PHI t JAX t CLE (various),https://www.drafttek.com/NFL-Trade-Value-Chart.asp
7,24,240,JAX,MIN,MIN g JAX (C Robinson),https://www.drafttek.com/NFL-Trade-Value-Chart.asp
7,26,242,CLE,NYJ,NYJ g BUF t CLE (A Cooper/J Briggs),https://www.drafttek.com/NFL-Trade-Value-Chart.asp
7,27,243,SF,HOU,HOU g SF (K Davis),https://www.drafttek.com/NFL-Trade-Value-Chart.asp
7,28,244,HOU,MIN,MIN g HOU (C Akers),https://www.drafttek.com/NFL-Trade-Value-Chart.asp
7,29,245,HOU,JAX,JAX G LAR t HOU (C Kirk),https://www.drafttek.com/NFL-Trade-Value-Chart.asp
7,31,247,NE,SF,SF g NE (K White),https://www.drafttek.com/NFL-Trade-Value-Chart.asp
7,32,248,SEA,CLE,CLE g SEA (N Harris),https://www.drafttek.com/NFL-Trade-Value-Chart.asp
